path,depth,file_count,total_bytes,total_loc,newest_mtime,days_stale
.,0,11004,21979532050,1811209,2026-07-24,0
..bfg-report,1,3,93443,0,2026-04-03,111
..bfg-report/2026-04-03,2,3,93443,0,2026-04-03,111
..bfg-report/2026-04-03/21-58-04,3,3,93443,0,2026-04-03,111
.backups,1,16,16369661,0,2026-04-28,86
.github,1,11,44321,878,2026-07-15,8
.github/ISSUE_TEMPLATE,2,3,690,41,2026-04-06,108
.github/workflows,2,4,36713,806,2026-07-15,8
.hypothesis,1,2155,1817859,0,2026-07-23,0
.hypothesis/constants,2,2130,1767248,0,2026-07-23,0
.hypothesis/examples,2,22,466,0,2026-03-25,121
.hypothesis/examples/04e6b3400353b141,3,2,106,0,2026-03-25,121
.hypothesis/examples/308a88fc9d243d2e,3,1,18,0,2026-03-25,121
.hypothesis/examples/64c36e68d37284d3,3,19,342,0,2026-03-25,121
.hypothesis/unicode_data,2,2,43997,0,2026-05-22,63
.hypothesis/unicode_data/15.1.0,3,1,21735,0,2026-05-22,63
.hypothesis/unicode_data/16.0.0,3,1,22262,0,2026-03-25,121
.import_linter_cache,1,4,78605,2,2026-06-17,36
.logs,1,157,53958143,3706,2026-06-16,38
.media,1,88,2315637478,0,2026-04-03,111
.media/ai_creators,2,3,39592179,0,2026-03-17,129
.media/cdn,2,84,2276039151,0,2026-04-03,112
.playwright-mcp,1,760,23488791,185735,2026-07-23,0
.runtime,1,2,93,5,2026-07-23,0
.serena,1,7,21066,284,2026-07-09,14
.serena/cache,2,0,0,0,n/a,-1
.serena/cache/python,3,0,0,0,n/a,-1
.serena/memories,2,3,4865,111,2026-03-13,133
.superpowers,1,4,1924,0,2026-03-20,125
.superpowers/brainstorm,2,4,1924,0,2026-03-20,125
.superpowers/brainstorm/48802-1774018009,3,2,962,0,2026-03-20,125
.superpowers/brainstorm/48970-1774018024,3,2,962,0,2026-03-20,125
.tmp,1,2221,8649097327,56000,2026-07-24,0
.tmp/backups,2,8,4379496,0,2026-06-16,37
.tmp/cache,2,224,2887907,224,2026-07-23,0
.tmp/cache/cuelinks-campaigns,3,1,149,1,2026-07-23,0
.tmp/cache/cuelinks-convert,3,1,109,1,2026-07-23,0
.tmp/cache/earnkaro,3,0,0,0,n/a,-1
.tmp/locks,2,5,29,0,2026-04-29,86
.tmp/logs,2,133,4278967,0,2026-04-29,86
.tmp/logs/anime,3,18,421411,0,2026-03-22,124
.tmp/logs/clutchwire,3,18,829164,0,2026-04-28,86
.tmp/logs/criticalrush,3,19,520961,0,2026-04-29,86
.tmp/logs/framedrift,3,18,428800,0,2026-04-29,86
.tmp/logs/gaming,3,16,542171,0,2026-03-21,124
.tmp/logs/movies,3,13,385321,0,2026-03-21,124
.tmp/logs/splicereel,3,18,519094,0,2026-04-29,86
.tmp/logs/sports,3,13,632045,0,2026-03-21,124
.tmp/prod_handedits,2,3,17803,631,2026-06-15,38
.tmp/rerender,2,16,427948890,0,2026-03-28,118
.tmp/rerender/1cbf9b59-967,3,2,33886758,0,2026-03-27,118
.tmp/rerender/34c82a0f-5c9,3,0,0,0,n/a,-1
.tmp/rerender/34e82683-366,3,6,192996245,0,2026-03-28,118
.tmp/rerender/35c275d3-4d7,3,0,0,0,n/a,-1
.tmp/rerender/372d106f-11c,3,0,0,0,n/a,-1
.tmp/rerender/3936bc15-5c4,3,2,47702044,0,2026-03-27,118
.tmp/rerender/4e3e410a-760,3,0,0,0,n/a,-1
.tmp/rerender/603249f0-7cc,3,0,0,0,n/a,-1
.tmp/rerender/6d8858f5-301,3,0,0,0,n/a,-1
.tmp/rerender/7dcf76db-7b5,3,2,31901914,0,2026-03-27,118
.tmp/rerender/c1fed0df-105,3,2,58895229,0,2026-03-27,118
