path,depth,file_count,total_bytes,total_loc,newest_mtime,days_stale
BlackboxBrief/tests/fixtures,3,2,3200,67,2026-02-16,157
BlackboxBrief/inspo_library/accounts,3,7,1542,67,2026-02-17,156
BlackboxBrief/templates/fonts,3,2,14052656,0,2026-02-21,152
BlackboxBrief/assets/music,3,5,2893493,0,2026-02-21,152
BlackboxBrief/tests/golden,3,2,2172,62,2026-02-22,151
BlackboxBrief/templates/slides,3,9,31737,0,2026-02-22,151
BlackboxBrief/templates,2,12,14092589,0,2026-02-22,151
dashboard/frontend/worker,3,2,2470,86,2026-02-27,147
BlackboxBrief/assets/logos,3,13,441892,0,2026-02-26,147
BlackboxBrief/.github/workflows,3,1,1194,54,2026-02-27,146
BlackboxBrief/.github,2,1,1194,54,2026-02-27,146
genlab-core/genlab_core.egg-info,2,5,658,0,2026-03-06,139
BlackboxBrief/tests/core,3,2,6148,0,2026-03-07,138
SpliceReel/assets/logos,3,2,796837,0,2026-03-09,137
genlab-core/niche_stubs/sports,3,1,313,11,2026-03-09,137
genlab-core/niche_stubs/movies,3,1,313,11,2026-03-09,137
genlab-core/niche_stubs/anime,3,1,310,11,2026-03-09,137
genlab-core/niche_stubs,2,3,936,33,2026-03-09,137
FrameDrift/assets/logos,3,2,1406811,0,2026-03-09,137
ClutchWire/assets/logos,3,2,1861702,0,2026-03-09,137
CriticalRush/docs/plans,3,2,54452,1482,2026-03-10,136
CriticalRush/docs,2,4,88351,2075,2026-03-10,136
genlab-core/docs,2,1,1839,43,2026-03-10,135
genlab-core/.hypothesis/unicode_data,3,1,22262,0,2026-03-10,135
CriticalRush/.hypothesis/unicode_data,3,1,22262,0,2026-03-10,135
.serena/memories,2,3,4865,111,2026-03-13,133
FrameDrift/.tmp/test_video_dl,3,4,69975187,36,2026-03-13,132
FrameDrift/.hypothesis/unicode_data,3,1,22262,0,2026-03-13,132
FrameDrift/.hypothesis/constants,3,119,44104,0,2026-03-13,132
FrameDrift/.hypothesis,2,120,66366,0,2026-03-13,132
dashboard/.hypothesis/unicode_data,3,1,22262,0,2026-03-14,132
dashboard/.hypothesis/constants,3,113,45148,0,2026-03-14,132
dashboard/.hypothesis,2,114,67410,0,2026-03-14,132
CriticalRush/.tmp/reports,3,36,234176,8122,2026-03-14,132
CriticalRush/.hypothesis/constants,3,136,53677,0,2026-03-13,132
CriticalRush/.hypothesis,2,137,75939,0,2026-03-13,132
BlackboxBrief/schemas,2,11,29642,929,2026-03-14,132
BlackboxBrief/inspo_library/posts,3,2,1003,40,2026-03-13,132
BlackboxBrief/inspo_library,2,11,13292,131,2026-03-13,132
BlackboxBrief/docs/plans,3,19,499593,14740,2026-03-14,132
BlackboxBrief/docs/archive,3,4,71222,1930,2026-03-13,132
BlackboxBrief/docs,2,27,583588,16824,2026-03-14,132
BlackboxBrief/configs,2,1,919,41,2026-03-13,132
BlackboxBrief/.tmp/health,3,2,3020,124,2026-03-14,132
BlackboxBrief/.tmp/media,3,2,114704,0,2026-03-15,130
genlab-core/.hypothesis/constants,3,304,177955,0,2026-03-17,129
genlab-core/.hypothesis,2,305,200217,0,2026-03-17,129
BlackboxBrief/.tmp/backups,3,63,19660710,492668,2026-03-17,129
BlackboxBrief/.tmp/audio,3,570,494062605,0,2026-03-17,129
.media/ai_creators,2,3,39592179,0,2026-03-17,129
SpliceReel/assets,2,4,3647023,0,2026-03-17,128
FrameDrift/assets,2,4,5133887,0,2026-03-17,128
dashboard/configs,2,1,885,39,2026-03-17,128
CriticalRush/tests/publishing,3,2,8091,203,2026-03-17,128
CriticalRush/assets,2,2,2555831,0,2026-03-17,128
ClutchWire/assets,2,4,5491188,0,2026-03-17,128
BlackboxBrief/assets,2,21,5786981,0,2026-03-17,128
BlackboxBrief/.tmp/learning_logs,3,12,10860,444,2026-03-17,128
SpliceReel/.tmp/logs,3,2,1800670,0,2026-03-20,125
FrameDrift/.tmp/logs,3,2,1741783,0,2026-03-20,125
ClutchWire/.tmp/logs,3,2,1810817,0,2026-03-20,125
BlackboxBrief/.tmp/test_video_dl,3,5,371502466,36,2026-03-20,125
BlackboxBrief/.playwright-mcp,2,13,80040,0,2026-03-20,125
BlackboxBrief/.logs,2,1,0,0,2026-03-20,125
.superpowers/brainstorm/48970-1774018024,3,2,962,0,2026-03-20,125
.superpowers/brainstorm/48802-1774018009,3,2,962,0,2026-03-20,125
.superpowers/brainstorm,2,4,1924,0,2026-03-20,125
.superpowers,1,4,1924,0,2026-03-20,125
.tmp/logs/sports,3,13,632045,0,2026-03-21,124
.tmp/logs/movies,3,13,385321,0,2026-03-21,124
.tmp/logs/gaming,3,16,542171,0,2026-03-21,124
.tmp/logs/anime,3,18,421411,0,2026-03-22,124
genlab-core/assets/fonts,3,1,879708,0,2026-03-22,123
genlab-core/assets,2,1,879708,0,2026-03-22,123
dashboard/frontend/public,3,4,3987,77,2026-03-23,123
.tmp/test_video_dl/output,3,2,85424,17,2026-03-25,121
.tmp/test_video_dl/cache,3,1,655,19,2026-03-25,121
.tmp/test_video_dl,2,3,86079,36,2026-03-25,121
.tmp/runs/multi_20260324_134759,3,1,768,36,2026-03-24,121
.hypothesis/unicode_data/16.0.0,3,1,22262,0,2026-03-25,121
.hypothesis/examples/64c36e68d37284d3,3,19,342,0,2026-03-25,121
.hypothesis/examples/308a88fc9d243d2e,3,1,18,0,2026-03-25,121
.hypothesis/examples/04e6b3400353b141,3,2,106,0,2026-03-25,121
.hypothesis/examples,2,22,466,0,2026-03-25,121
.tmp/runs/multi_20260326_072445,3,1,767,36,2026-03-26,120
.tmp/runs/multi_20260325_142356,3,1,768,36,2026-03-25,120
CriticalRush/logs,2,3,1854,0,2026-03-27,118
