SET
niche_id	platform	published_at	hook	caption
anime	threads	2026-07-24	Why does the English dub make Ame even more unhinged?	The English voice acting just hit different. Ame's obsession energy is PEAK in dub form, and this plushie scene proves it. 😭  Caught up yet?  #Anime #AnimeReels #Crunchyroll  🎬 Original: @Aniplex USA 
anime	facebook	2026-07-24	Why does the English dub make Ame even more unhinged?	The English voice acting just hit different. Ame's obsession energy is PEAK in dub form, and this plushie scene proves it. 😭  Caught up yet?  #Anime #AnimeReels #Crunchyroll  🎬 Original: @Aniplex USA 
anime	youtube	2026-07-24	Why does the English dub make Ame even more unhinged?	The English voice acting just hit different. Ame's obsession energy is PEAK in dub form, and this plushie scene proves it. 😭  Caught up yet?  #Anime #AnimeReels #Crunchyroll  🎬 Original: @Aniplex USA 
anime	instagram	2026-07-24	Why does the English dub make Ame even more unhinged?	The English voice acting just hit different. Ame's obsession energy is PEAK in dub form, and this plushie scene proves it. 😭  Caught up yet?  #Anime #AnimeReels #Crunchyroll  🎬 Original: @Aniplex USA 
sports	threads	2026-07-24	Haney's back in the gym like he never left	Devin Haney grinding on the heavy bag with that precision footwork. This is what redemption looks like. 🥊  Would you start them?  #Sports #SportsHighlights #Devin  🎬 Original: @r/boxing — https://v.re
sports	facebook	2026-07-24	Haney's back in the gym like he never left	Devin Haney grinding on the heavy bag with that precision footwork. This is what redemption looks like. 🥊  Would you start them?  #Sports #SportsHighlights #Devin  🎬 Original: @r/boxing — https://v.re
sports	youtube	2026-07-24	Haney's back in the gym like he never left	Devin Haney grinding on the heavy bag with that precision footwork. This is what redemption looks like. 🥊  Would you start them?  #Sports #SportsHighlights #Devin  🎬 Original: @r/boxing — https://v.re
sports	instagram	2026-07-24	Haney's back in the gym like he never left	Devin Haney grinding on the heavy bag with that precision footwork. This is what redemption looks like. 🥊  Would you start them?  #Sports #SportsHighlights #Devin  🎬 Original: @r/boxing — https://v.re
gaming	threads	2026-07-24	League of Legends	League of Legends  Via スタンミ  #Gaming #GamingReels #League  🎬 Original: @スタンミ —  Save this for later!  🎬 Original: @スタンミ — https://www.twitch.tv/sutanmi
gaming	facebook	2026-07-24	League of Legends	League of Legends  Via スタンミ  #Gaming #GamingReels #League  🎬 Original: @スタンミ —  Save this for later!  🎬 Original: @スタンミ — https://www.twitch.tv/sutanmi
gaming	youtube	2026-07-24	League of Legends	League of Legends  Via スタンミ  #Gaming #GamingReels #League  🎬 Original: @スタンミ —  Save this for later!  🎬 Original: @スタンミ — https://www.twitch.tv/sutanmi
gaming	instagram	2026-07-24	League of Legends	League of Legends  Via スタンミ  #Gaming #GamingReels #League  🎬 Original: @スタンミ —  Save this for later!  🎬 Original: @スタンミ — https://www.twitch.tv/sutanmi
ai_creators	threads	2026-07-24	Apple v. OpenAI #Vergecast	Apple v. OpenAI #Vergecast  Via The Verge  #AI #AITools #OpenAI  🎬 Original: @The Verge —  Save this for later!
ai_creators	facebook	2026-07-24	Apple v. OpenAI #Vergecast	Apple v. OpenAI #Vergecast  Via The Verge  #AI #AITools #OpenAI  🎬 Original: @The Verge —  Save this for later!
ai_creators	youtube	2026-07-24	Apple v. OpenAI #Vergecast	Apple v. OpenAI #Vergecast  Via The Verge  #AI #AITools #OpenAI  🎬 Original: @The Verge —  Save this for later!
ai_creators	instagram	2026-07-24	Apple v. OpenAI #Vergecast	Apple v. OpenAI #Vergecast  Via The Verge  #AI #AITools #OpenAI  🎬 Original: @The Verge —  Save this for later!
anime	threads	2026-07-23	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOB...	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOBU VS. DOMA (ENGLISH DUB)  Via Aniplex USA  #Anime #AnimeReels #DemonSlayer  🎬 Original: @Aniplex USA —  Save this for later!
anime	facebook	2026-07-23	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOB...	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOBU VS. DOMA (ENGLISH DUB)  Via Aniplex USA  #Anime #AnimeReels #DemonSlayer  🎬 Original: @Aniplex USA —  Save this for later!
anime	youtube	2026-07-23	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOB...	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOBU VS. DOMA (ENGLISH DUB)  Via Aniplex USA  #Anime #AnimeReels #DemonSlayer  🎬 Original: @Aniplex USA —  Save this for later!
anime	instagram	2026-07-23	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOB...	Demon Slayer: Kimetsu no Yaiba Infinity Castle I | SHINOBU VS. DOMA (ENGLISH DUB)  Via Aniplex USA  #Anime #AnimeReels #DemonSlayer  🎬 Original: @Aniplex USA —  Save this for later!
movies	threads	2026-07-23	The Odyssey: Where poor ppl literally see less 😭😭	The Odyssey: Where poor ppl literally see less 😭😭  Via Jorski  #Movies #Cinema #Marvel  🎬 Original: @Jorski —  Save this for later!  🎬 Original: @Jorski — https://youtube.com/watch?v=JtXyS8Nfvfc  #ad 
movies	facebook	2026-07-23	The Odyssey: Where poor ppl literally see less 😭😭	The Odyssey: Where poor ppl literally see less 😭😭  Via Jorski  #Movies #Cinema #Marvel  🎬 Original: @Jorski —  Save this for later!  🎬 Original: @Jorski — https://youtube.com/watch?v=JtXyS8Nfvfc  #ad 
movies	youtube	2026-07-23	The Odyssey: Where poor ppl literally see less 😭😭	The Odyssey: Where poor ppl literally see less 😭😭  Via Jorski  #Movies #Cinema #Marvel  🎬 Original: @Jorski —  Save this for later!  🎬 Original: @Jorski — https://youtube.com/watch?v=JtXyS8Nfvfc  #ad 
movies	instagram	2026-07-23	The Odyssey: Where poor ppl literally see less 😭😭	The Odyssey: Where poor ppl literally see less 😭😭  Via Jorski  #Movies #Cinema #Marvel  🎬 Original: @Jorski —  Save this for later!  🎬 Original: @Jorski — https://youtube.com/watch?v=JtXyS8Nfvfc  #ad 
sports	threads	2026-07-23	Shakur says he won’t be wearing the Zuffa shorts in the...	Shakur's not playing ball with Zuffa's branding. The boxer's drawing a line at the shorts — and honestly? The confidence is wild. 😂  Comment your hot take 👇  #Boxing #Shakur #PBC  🎬 Original: @r/boxin
sports	facebook	2026-07-23	Shakur says he won’t be wearing the Zuffa shorts in the...	Shakur's not playing ball with Zuffa's branding. The boxer's drawing a line at the shorts — and honestly? The confidence is wild. 😂  Comment your hot take 👇  #Boxing #Shakur #PBC  🎬 Original: @r/boxin
sports	youtube	2026-07-23	Shakur says he won’t be wearing the Zuffa shorts in the...	Shakur's not playing ball with Zuffa's branding. The boxer's drawing a line at the shorts — and honestly? The confidence is wild. 😂  Comment your hot take 👇  #Boxing #Shakur #PBC  🎬 Original: @r/boxin
sports	instagram	2026-07-23	Shakur says he won’t be wearing the Zuffa shorts in the...	Shakur's not playing ball with Zuffa's branding. The boxer's drawing a line at the shorts — and honestly? The confidence is wild. 😂  Comment your hot take 👇  #Boxing #Shakur #PBC  🎬 Original: @r/boxin
gaming	threads	2026-07-23	DFG Alistar is back and it's actually broken	League Classic just dropped on PBE and Pobelter's testing DFG Alistar. The old item meta is unhinged. 💀  Drop your take below 👇  #LeagueOfLegends #PBE #DFG  🎬 Original: @Pobelter — https://www.twitch.
gaming	facebook	2026-07-23	DFG Alistar is back and it's actually broken	League Classic just dropped on PBE and Pobelter's testing DFG Alistar. The old item meta is unhinged. 💀  Drop your take below 👇  #LeagueOfLegends #PBE #DFG  🎬 Original: @Pobelter — https://www.twitch.
gaming	youtube	2026-07-23	DFG Alistar is back and it's actually broken	League Classic just dropped on PBE and Pobelter's testing DFG Alistar. The old item meta is unhinged. 💀  Drop your take below 👇  #LeagueOfLegends #PBE #DFG  🎬 Original: @Pobelter — https://www.twitch.
gaming	instagram	2026-07-23	DFG Alistar is back and it's actually broken	League Classic just dropped on PBE and Pobelter's testing DFG Alistar. The old item meta is unhinged. 💀  Drop your take below 👇  #LeagueOfLegends #PBE #DFG  🎬 Original: @Pobelter — https://www.twitch.
ai_creators	threads	2026-07-23	Codex vs your calendar: Codex wins every time	Hold up a red card on camera and Codex exits your meeting, blocks your calendar, sets OOO, and logs you out. No typing. No clicking. Just a...  Tag someone who needs to see this  #AI #AITools #DC  🎬 O
ai_creators	facebook	2026-07-23	Codex vs your calendar: Codex wins every time	Hold up a red card on camera and Codex exits your meeting, blocks your calendar, sets OOO, and logs you out. No typing. No clicking. Just a...  Tag someone who needs to see this  #AI #AITools #DC  🎬 O
ai_creators	youtube	2026-07-23	Codex vs your calendar: Codex wins every time	Hold up a red card on camera and Codex exits your meeting, blocks your calendar, sets OOO, and logs you out. No typing. No clicking. Just a...  Tag someone who needs to see this  #AI #AITools #DC  🎬 O
ai_creators	instagram	2026-07-23	Codex vs your calendar: Codex wins every time	Hold up a red card on camera and Codex exits your meeting, blocks your calendar, sets OOO, and logs you out. No typing. No clicking. Just a...  Tag someone who needs to see this  #AI #AITools #DC  🎬 O
